Jurisdiction,,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC,YT,NT,NU
Number of men / women receiving MAID,Men,7 (43.8%),8 (47.1%),70 (56.5%),65 (63.1%),821 (53.1%),898 (51.4%),77 (45.0%),48 (52.2%),176 (48.8%),571 (47.5%),-,-,-
Women,9 (56.3%),9 (52.9%),54 (43.5%),38 (36.9%),725 (46.9%),849 (48.6%),94 (55.0%),44 (47.8%),185 (51.2%),630 (52.5%),-,-,-,
Most common reported underlying medical condition of patients who obtain a medically assisted death,Cancer-Related,12 (75.0%),10 (58.8%),84 (67.7%),69 (67.0%),1170 (75.7%),1087 (62.2%),104 (60.8%),69 (75.0%),238 (65.9%),771 (64.2%),-,-,-
Neurological Condition,-,-,15 (12.1%),13 (12.6%),149 (9.6%),179 (10.2%),21 (12.3%),-,45 (12.5%),126 (10.5%),-,-,-,
Chronic Respiratory Disease,-,-,14 (11.3%),12 (11.7%),168 (10.9%),166 (9.5%),15 (8.8%),10 (10.9%),46 (12.7%),143 (11.9%),-,-,-,
Cardiovascular,-,-,9 (7.3%),8 (7.8%),113 (7.3%),175 (10.0%),14 (8.2%),7 (7.6%),48 (13.3%),166 (13.8%),-,-,-,
Other Organ Failure,-,-,-,-,68 (4.4%),58 (3.3%),-,-,19 (5.3%),79 (6.6%),-,-,-,
Multiple Comorbidities,-,-,-,9 (8.7%),86 (5.6%),185 (10.6%),18 (10.5%),9 (9.8%),34 (9.4%),136 (11.3%),-,-,-,
Other Condition,-,-,-,-,37 (2.4%),95 (5.4%),-,-,25 (6.9%),164 (13.7%),-,-,-,
Speciality of MAID provider,Family Medicine,9 (56.3%),14 (82.4%),55 (44.4%),79 (76.7%),"1,131 (73.2%)",920 (52.7%),92 (53.8%),9 (9.8%),227 (62.9%),962 (80.1%),-,-,-
Palliative Medicine,-,-,12 (9.7%),24 (23.3%),152 (9.8%),280 (16.0%),0 (0.0%),-,-,13 (1.1%),-,-,-,
Anesthesiology,-,-,25 (20.2%),0 (0.0%),20 (1.3%),173 (9.9%),0 (0.0%),16 (17.4%),9 (2.5%),23 (1.9%),-,-,-,
Internal Medicine,-,-,11 (8.9%),0 (0.0%),127 (8.2%),53 (3.0%),0 (0.0%),-,13 (3.6%),44 (3.7%),-,-,-,
Critical Care / Emergency Medicine,-,-,0 (0.0%),0 (0.0%),9 (0.6%),73 (4.2%),0 (0.0%),0 (0.0%),10 (2.8%),-,-,-,-,
Oncology,-,-,0 (0.0%),0 (0.0%),21 (1.4%),31 (1.8%),0 (0.0%),0 (0.0%),34 (9.4%),-,-,-,-,
Psychiatry,-,-,0 (0.0%),0 (0.0%),0 (0.0%),9 (0.5%),0 (0.0%),39 (42.4%),14 (3.9%),-,-,-,-,
Other,-,-,9 (7.3%),0 (0.0%),86 (5.6%),49 (2.8%),79 (46.2%),7 (7.6%),-,12 (1.0%),-,-,-,
Nurse Practitioner,0 (0.0%),0 (0.0%),12 (9.7%),0 (0.0%),0 (0.0%),159 (9.1%),0 (0.0%),19 (20.7%),49 (13.6%),145 (12.1%),-,-,-,
Source of the written request,Patient Directly,-,-,19 (15.3%),56 (54.4%),505 (32.7%),622 (35.6%),53 (31.0%),86 (93.5%),54 (15.0%),312 (26.0%),-,-,-
Another Practitioner,-,-,37 (29.8%),42 (40.8%),487 (31.5%),442 (25.3%),0 (0.0%),-,21 (5.8%),235 (19.6%),-,-,-,
Care Coordination Service,-,-,68 (54.8%),-,530 (34.3%),634 (36.3%),118 (69.0%),-,286 (79.2%),640 (53.3%),-,-,-,
Other,-,-,0 (0.0%),-,24 (1.6%),49 (2.8%),0 (0.0%),-,-,14 (1.2%),-,-,-,
